year,job,salary,satisfaction,job_openings,rank
2015,Physician Assistant ,111376,3.5,45484,1
2015,Software Engineer,98074,3.3,104828,2
2015,Business Development Manager,94907,3.5,11616,3
2015,Human Resources Manager,96443,3.6,8073,4
2015,Finance Manager,122865,3.4,9728,5
2015,Marketing Manager ,100130,3.4,14647,6
2015,Database Administrator,97835,3.4,9790,7
2015,Product Manager,113363,3.3,10294,8
2015,Data Scientist,104476,3.8,3449,9
2015,Sales Manager,121657,3.4,3982,10
2015,Solutions Architect,121657,3.4,3982,11
2015,Mechanical Engineer,73015,3.3,16065,12
2015,QA Engineer,77499,3.2,26383,13
2015,Business Analyst,74638,3.2,21337,14
2015,Electrical Engineer,76803,3.3,10435,15
2015,Network Engineer,87518,3.2,14092,16
2015,Civil Engineer,73383,3.5,6120,17
2015,Audit Manager,69271,3.9,4585,18
2015,Physical Therapist,64806,3.2,27579,19
2015,IT Project Manager,103710,3.2,5700,20
2015,Client Services Manager,103736,3.7,2377,21
2015,Supply Chain Manager,83795,3.4,3754,22
2015,Mobile Developer ,79810,3.3,4651,23
2015,Nurse Practitioner ,95171,3.1,15341,24
2015,Sales Engineer,91318,3.2,6007,25
